frame,reg,value
289,15,1
289,20,252
289,19,0
289,18,0
289,20,0
289,18,8
289,8,1
289,13,252
289,12,0
289,11,0
289,13,0
289,11,8
289,1,1
289,6,252
289,5,0
289,4,0
289,6,0
289,4,8
289,23,0
289,22,0
289,21,0
289,18,0
289,17,0
289,16,0
289,15,0
289,14,0
289,11,0
289,10,0
289,9,0
289,8,0
289,7,0
289,4,0
289,3,0
289,2,0
289,1,0
289,0,0
289,15,1
289,20,252
289,20,0
289,18,8
289,8,1
289,13,252
289,13,0
289,11,8
289,1,1
289,6,252
289,6,0
289,4,8
291,17,8
291,14,180
291,15,65
291,18,0
291,10,8
291,7,180
291,8,65
291,11,0
291,3,8
291,0,180
291,1,65
291,4,0
291,23,167
291,24,31
291,22,240
292,14,56
292,15,9
292,7,56
292,8,9
292,0,56
292,1,9
293,14,132
293,15,6
293,7,132
293,8,6
293,0,132
293,1,6
293,22,3
294,14,22
294,15,1
294,7,22
294,8,1
294,0,22
294,1,1
294,22,5
295,22,7
296,22,9
297,22,11
298,22,13
301,22,15
302,22,17
303,22,19
304,22,21
305,14,23
305,7,23
305,0,23
305,22,23
308,22,25
309,22,27
310,22,29
311,22,31
312,22,33
315,22,35
316,22,37
317,22,39
318,22,41
319,22,43
322,22,45
323,22,47
324,22,49
325,22,51
326,22,53
329,22,55
330,22,57
331,22,59
332,22,61
333,22,63
336,22,65
337,22,67
338,22,69
339,22,71
340,22,73
343,22,75
344,22,77
345,22,79
346,22,81
347,22,83
350,22,85
351,22,87
352,22,89
353,22,91
354,22,93
357,22,95
358,22,97
359,22,99
360,22,101
361,22,103
364,22,105
365,22,107
366,22,109
367,22,111
368,22,113
371,22,115
372,22,117
373,22,119
374,22,121
375,22,123
378,22,125
379,22,127
380,22,129
381,22,131
382,22,133
385,22,135
386,22,137
387,22,139
388,22,141
389,22,143
392,22,145
393,22,147
394,22,149
395,22,151
396,22,153
399,22,155
400,22,157
401,22,159
402,22,161
403,22,163
406,22,165
407,22,167
408,22,169
409,22,171
410,22,173
413,22,175
414,22,177
415,22,179
416,22,181
417,22,183
420,22,185
421,22,187
422,22,189
423,22,191
424,22,193
427,22,195
428,22,197
429,22,199
430,22,201
431,22,203
434,22,205
435,22,207
436,22,209
437,22,211
438,22,213
441,22,215
442,22,217
443,22,219
444,22,221
445,22,223
448,22,225
449,22,227
450,22,229
451,22,231
452,22,233
455,22,235
456,22,237
457,22,239
458,22,241
459,22,243
462,22,245
463,22,247
464,22,249
465,22,251
466,22,253
469,22,255
470,22,1
471,22,3
472,22,5
473,22,7
476,22,9
477,22,11
478,22,13
479,22,15
480,22,17
483,22,19
484,22,21
485,22,23
486,22,25
487,22,27
490,22,29
491,22,31
492,22,33
493,22,35
494,22,37
497,22,39
498,22,41
499,22,43
500,22,45
501,22,47
504,22,49
505,22,51
506,22,53
507,22,55
508,22,57
511,22,59
512,22,61
513,22,63
514,22,65
515,22,67
518,22,69
519,22,71
520,22,73
521,22,75
522,22,77
525,22,79
526,22,81
527,22,83
528,22,85
529,22,87
532,22,89
533,22,91
534,22,93
535,22,95
536,22,97
539,22,99
540,22,101
541,22,103
542,22,105
543,22,107
546,22,109
547,22,111
548,22,113
549,22,115
550,22,117
553,22,119
554,22,121
555,22,123
556,22,125
557,22,127
560,22,129
561,22,131
562,22,133
563,22,135
564,22,137
567,22,139
568,22,141
569,22,143
570,22,145
571,22,147
574,22,149
575,22,151
576,22,153
577,22,155
578,22,157
581,22,159
582,22,161
583,22,163
584,22,165
585,22,167
588,22,169
589,22,171
590,22,173
591,22,175
592,22,177
595,22,179
596,22,181
597,22,183
598,22,185
599,22,187
602,22,189
603,22,191
604,22,193
605,22,195
606,22,197
609,22,199
610,22,201
611,22,203
612,22,205
613,22,207
616,22,209
617,22,211
618,22,213
619,22,215
620,22,217
623,22,219
624,22,221
625,22,223
626,22,225
627,22,227
630,22,229
631,22,231
632,22,233
633,22,235
634,22,237
637,22,239
638,22,241
639,22,243
640,22,245
641,22,247
644,22,249
645,22,251
646,22,253
647,22,255
648,22,1
651,22,3
652,22,5
653,22,7
654,22,9
655,22,11
658,22,13
659,22,15
660,22,17
661,22,19
662,22,21
665,22,23
666,22,25
667,22,27
668,22,29
669,22,31
672,22,33
673,22,35
674,22,37
675,22,39
676,22,41
679,22,43
680,22,45
681,22,47
682,22,49
683,22,51
686,22,53
687,22,55
688,22,57
689,22,59
690,22,61
693,22,63
694,22,65
695,22,67
696,22,69
697,22,71
700,22,73
701,22,75
702,22,77
703,22,79
704,22,81
707,22,83
708,22,85
709,22,87
710,22,89
711,22,91
714,22,93
715,22,95
716,22,97
717,22,99
718,22,101
721,22,103
722,22,105
723,22,107
724,22,109
725,22,111
728,22,113
729,22,115
730,22,117
731,22,119
732,22,121
735,22,123
736,22,125
737,22,127
738,22,129
739,22,131
742,22,133
743,22,135
744,22,137
745,22,139
746,22,141
749,22,143
750,22,145
751,22,147
752,22,149
753,22,151
756,22,153
757,22,155
758,22,157
759,22,159
760,22,161
763,22,163
764,22,165
765,22,167
766,22,169
767,22,171
770,22,173
771,22,175
772,22,177
773,22,179
774,22,181
777,22,183
778,22,185
779,22,187
780,22,189
781,22,191
784,22,193
785,22,195
786,22,197
787,22,199
788,22,201
791,22,203
792,22,205
793,22,207
794,22,209
795,22,211
798,22,213
799,22,215
800,22,217
801,22,219
802,22,221
805,22,223
806,22,225
807,22,227
808,22,229
809,22,231
812,22,233
813,22,235
814,22,237
815,22,239
816,22,241
819,22,243
820,22,245
821,22,247
822,22,249
823,22,251
826,22,253
827,22,255
828,22,1
829,22,3
830,22,5
833,22,7
834,22,9
835,22,11
836,22,13
837,22,15
840,22,17
841,22,19
842,22,21
843,22,23
844,22,25
847,22,27
848,22,29
849,22,31
850,22,33
851,22,35
854,22,37
855,22,39
856,22,41
857,22,43
858,22,45
861,22,47
862,22,49
863,22,51
864,22,53
865,22,55
868,22,57
869,22,59
870,22,61
871,22,63
872,22,65
875,22,67
876,22,69
877,22,71
878,22,73
879,22,75
882,22,77
883,22,79
884,22,81
885,22,83
886,22,85
889,22,87
890,22,89
891,22,91
892,22,93
893,22,95
896,22,97
897,22,99
898,22,101
899,22,103
900,22,105
903,22,107
904,22,109
905,22,111
906,22,113
907,22,115
910,22,117
911,22,119
912,22,121
913,22,123
914,22,125
917,22,127
918,22,129
919,22,131
920,22,133
921,22,135
924,22,137
925,22,139
926,22,141
927,22,143
928,22,145
931,22,147
932,22,149
933,22,151
934,22,153
935,22,155
938,22,157
939,22,159
940,22,161
941,22,163
942,22,165
945,22,167
946,22,169
947,22,171
948,22,173
949,22,175
952,22,177
953,22,179
954,22,181
955,22,183
956,22,185
959,22,187
960,22,189
961,22,191
962,22,193
963,22,195
966,22,197
967,22,199
968,22,201
969,22,203
970,22,205
973,22,207
974,22,209
975,22,211
976,22,213
977,22,215
980,22,217
981,22,219
982,22,221
983,22,223
984,22,225
987,22,227
988,22,229
989,22,231
990,22,233
991,22,235
994,22,237
995,22,239
996,22,241
997,22,243
998,22,245
1001,22,247
1002,22,249
1003,22,251
1004,22,253
1005,22,255
1008,22,1
1009,22,3
1010,22,5
1011,22,7
1012,22,9
1015,22,11
1016,22,13
1017,22,15
1018,22,17
1019,22,19
1022,22,21
1023,22,23
1024,22,25
1025,22,27
1026,22,29
1029,22,31
1030,22,33
1031,22,35
1032,22,37
1033,22,39
1036,22,41
1037,22,43
1038,22,45
1039,22,47
1040,22,49
1043,22,51
1044,22,53
1045,22,55
