frame,reg,value
830,15,32
830,20,176
830,19,11
830,18,0
830,19,0
830,20,0
830,18,8
830,8,32
830,13,176
830,12,11
830,11,0
830,12,0
830,13,0
830,11,8
830,1,32
830,6,176
830,5,11
830,4,0
830,5,0
830,6,0
830,4,8
831,23,0
831,22,0
831,21,0
831,18,0
831,17,0
831,16,0
831,15,0
831,14,0
831,11,0
831,10,0
831,9,0
831,8,0
831,7,0
831,4,0
831,3,0
831,2,0
831,1,0
831,0,0
831,15,32
831,20,176
831,19,11
831,19,0
831,20,0
831,18,8
831,8,32
831,13,176
831,12,11
831,12,0
831,13,0
831,11,8
831,1,32
831,6,176
831,5,11
831,5,0
831,6,0
831,4,8
833,24,15
834,17,6
834,14,240
834,15,44
834,18,0
834,10,6
834,7,240
834,8,44
834,11,0
834,3,6
834,0,240
834,1,44
834,4,0
836,17,5
836,16,192
836,10,5
836,9,192
836,3,5
836,2,192
838,16,128
838,9,128
838,2,128
840,16,64
840,9,64
840,2,64
842,16,0
842,14,241
842,9,0
842,7,241
842,2,0
842,0,241
844,17,4
844,16,192
844,14,240
844,10,4
844,9,192
844,7,240
844,3,4
844,2,192
844,0,240
846,16,128
846,9,128
846,2,128
848,16,64
848,9,64
848,2,64
850,16,0
850,14,241
850,9,0
850,7,241
850,2,0
850,0,241
852,17,3
852,16,192
852,14,240
852,10,3
852,9,192
852,7,240
852,3,3
852,2,192
852,0,240
854,16,128
854,9,128
854,2,128
856,16,64
856,9,64
856,2,64
858,16,0
858,14,241
858,9,0
858,7,241
858,2,0
858,0,241
860,17,2
860,16,192
860,14,240
860,10,2
860,9,192
860,7,240
860,3,2
860,2,192
860,0,240
862,16,128
862,9,128
862,2,128
864,16,64
864,9,64
864,2,64
866,16,0
866,14,241
866,9,0
866,7,241
866,2,0
866,0,241
868,14,240
868,7,240
868,0,240
874,14,241
874,7,241
874,0,241
876,14,240
876,7,240
876,0,240
882,14,241
882,7,241
882,0,241
884,14,240
884,7,240
884,0,240
890,14,241
890,7,241
890,0,241
892,14,240
892,7,240
892,0,240
898,14,241
898,7,241
898,0,241
900,14,240
900,7,240
900,0,240
906,14,241
906,7,241
906,0,241
908,14,240
908,7,240
908,0,240
914,14,241
914,7,241
914,0,241
916,14,240
916,7,240
916,0,240
922,14,241
922,7,241
922,0,241
924,14,240
924,7,240
924,0,240
930,14,241
930,7,241
930,0,241
932,14,240
932,7,240
932,0,240
938,14,241
938,7,241
938,0,241
940,14,240
940,7,240
940,0,240
946,14,241
946,7,241
946,0,241
948,14,240
948,7,240
948,0,240
954,14,241
954,7,241
954,0,241
956,14,240
956,7,240
956,0,240
962,14,241
962,7,241
962,0,241
964,14,240
964,7,240
964,0,240
970,14,241
970,7,241
970,0,241
972,14,240
972,7,240
972,0,240
978,14,241
978,7,241
978,0,241
980,14,240
980,7,240
980,0,240
986,14,241
986,7,241
986,0,241
988,14,240
988,7,240
