frame,reg,value
0,24,0
4542,15,1
4542,20,240
4542,19,0
4542,18,0
4542,20,0
4542,18,8
4542,8,1
4542,13,240
4542,12,0
4542,11,0
4542,13,0
4542,11,8
4542,1,1
4542,6,240
4542,5,0
4542,4,0
4542,6,0
4542,4,8
4542,23,0
4542,22,0
4542,21,0
4542,18,0
4542,17,0
4542,16,0
4542,15,0
4542,14,0
4542,11,0
4542,10,0
4542,9,0
4542,8,0
4542,7,0
4542,4,0
4542,3,0
4542,2,0
4542,1,0
4542,0,0
4542,15,1
4542,20,240
4542,20,0
4542,18,8
4542,8,1
4542,13,240
4543,13,0
4543,11,8
4543,1,1
4543,6,240
4543,6,0
4543,4,8
4544,14,1
4544,15,0
4544,18,0
4544,7,1
4544,8,0
4544,11,0
4544,0,1
4544,1,0
4544,4,0
4544,24,15
4789,24,0
6477,15,1
6477,20,170
6477,20,0
6477,18,8
6478,8,1
6478,13,170
6478,13,0
6478,11,8
6478,1,1
6478,6,170
6478,6,0
6478,4,8
6478,18,0
6478,15,0
6478,14,0
6478,11,0
6478,8,0
6478,7,0
6478,4,0
6478,1,0
6478,0,0
6478,15,1
6478,20,170
6478,20,0
6478,18,8
6478,8,1
6478,13,170
6478,13,0
6478,11,8
6478,1,1
6478,6,170
6478,6,0
6478,4,8
6480,17,3
6480,14,161
6480,18,0
6480,10,3
6480,7,161
6480,11,0
6480,3,3
6480,0,161
6480,4,0
6480,24,15
6481,16,32
6481,9,32
6481,2,32
6482,16,64
6482,9,64
6482,2,64
6483,16,96
6483,14,75
6483,9,96
6483,7,75
6483,2,96
6483,0,75
6484,16,128
6484,9,128
6484,2,128
6485,16,160
6485,9,160
6485,2,160
6486,16,192
6486,14,22
6486,9,192
6486,7,22
6486,2,192
6486,0,22
6487,16,224
6487,9,224
6487,2,224
6488,17,4
6488,16,0
6488,10,4
6488,9,0
6488,3,4
6488,2,0
6489,16,32
6489,14,161
6489,9,32
6489,7,161
6489,2,32
6489,0,161
6490,16,64
6490,9,64
6490,2,64
6491,16,96
6491,9,96
6491,2,96
6492,16,128
6492,14,75
6492,9,128
6492,7,75
6492,2,128
6492,0,75
6493,16,160
6493,9,160
6493,2,160
6494,16,192
6494,9,192
6494,2,192
6495,16,224
6495,14,22
6495,9,224
6495,7,22
6495,2,224
6495,0,22
6496,17,5
6496,16,0
6496,10,5
6496,9,0
6496,3,5
6496,2,0
6497,16,32
6497,9,32
6497,2,32
6498,16,64
6498,14,161
6498,9,64
6498,7,161
6498,2,64
6498,0,161
6499,16,96
6499,9,96
6499,2,96
6500,16,128
6500,9,128
6500,2,128
6501,16,160
6501,14,75
6501,9,160
6501,7,75
6501,2,160
6501,0,75
6502,16,192
6502,9,192
6502,2,192
6503,16,224
6503,9,224
6503,2,224
6504,17,6
6504,16,0
6504,14,22
6504,10,6
6504,9,0
6504,7,22
6504,3,6
6504,2,0
6504,0,22
6505,16,32
6505,9,32
6505,2,32
6506,16,64
6506,9,64
6506,2,64
6507,16,96
6507,14,161
6507,9,96
6507,7,161
6507,2,96
6507,0,161
6508,16,128
6508,9,128
6508,2,128
6509,16,160
6509,9,160
6509,2,160
6510,16,192
6510,14,75
6510,9,192
6510,7,75
6510,2,192
6510,0,75
6511,16,224
6511,9,224
6511,2,224
6512,17,7
6512,16,0
6512,10,7
6512,9,0
6512,3,7
6512,2,0
6513,16,32
6513,14,22
6513,9,32
6513,7,22
6513,2,32
6513,0,22
6514,16,64
6514,9,64
6514,2,64
6515,16,96
6515,9,96
6515,2,96
6516,16,128
6516,14,161
