frame,reg,value
499,15,1
499,20,204
499,19,12
499,18,0
499,19,0
499,20,0
499,18,8
499,8,1
499,13,204
499,12,12
499,11,0
499,12,0
499,13,0
499,11,8
499,1,1
499,6,204
499,5,12
499,4,0
499,5,0
499,6,0
499,4,8
499,23,0
499,22,0
499,21,0
499,18,0
499,17,0
499,16,0
499,15,0
499,14,0
499,11,0
499,10,0
499,9,0
499,8,0
499,7,0
499,4,0
499,3,0
499,2,0
499,1,0
499,0,0
499,15,1
499,20,204
499,19,12
499,19,0
499,20,0
499,18,8
499,8,1
499,13,204
499,12,12
499,12,0
499,13,0
499,11,8
499,1,1
499,6,204
499,5,12
499,5,0
499,6,0
499,4,8
501,17,6
501,16,160
501,14,22
501,18,0
501,10,6
501,9,160
501,7,22
501,11,0
501,3,6
501,2,160
501,0,22
501,4,0
501,24,15
502,16,224
502,9,224
502,2,224
503,17,7
503,16,32
503,10,7
503,9,32
503,3,7
503,2,32
504,16,96
504,9,96
504,2,96
505,16,160
505,9,160
505,2,160
506,16,224
506,9,224
506,2,224
507,17,8
507,16,32
507,10,8
507,9,32
507,3,8
507,2,32
508,16,96
508,14,75
508,9,96
508,7,75
508,2,96
508,0,75
509,16,160
509,9,160
509,2,160
510,16,224
510,9,224
510,2,224
511,17,9
511,16,32
511,10,9
511,9,32
511,3,9
511,2,32
512,16,96
512,9,96
512,2,96
513,16,160
513,9,160
513,2,160
514,16,224
514,9,224
514,2,224
515,17,10
515,16,32
515,14,161
515,10,10
515,9,32
515,7,161
515,3,10
515,2,32
515,0,161
516,16,96
516,9,96
516,2,96
517,16,160
517,9,160
517,2,160
519,16,144
519,9,144
519,2,144
520,16,128
520,9,128
520,2,128
521,16,112
521,9,112
521,2,112
522,16,96
522,14,22
522,9,96
522,7,22
522,2,96
522,0,22
523,16,80
523,9,80
523,2,80
524,16,64
524,9,64
524,2,64
525,16,48
525,9,48
525,2,48
526,16,32
526,9,32
526,2,32
527,16,16
527,9,16
527,2,16
528,16,0
528,9,0
528,2,0
529,17,9
529,16,240
529,14,75
529,10,9
529,9,240
529,7,75
529,3,9
529,2,240
529,0,75
530,16,224
530,9,224
530,2,224
531,16,208
531,9,208
531,2,208
532,16,192
532,9,192
532,2,192
533,16,176
533,9,176
533,2,176
534,16,160
534,9,160
534,2,160
535,16,144
535,9,144
535,2,144
536,16,128
536,14,161
536,9,128
536,7,161
536,2,128
536,0,161
537,16,112
537,9,112
537,2,112
538,16,96
538,9,96
538,2,96
539,16,80
539,9,80
539,2,80
540,16,64
540,9,64
540,2,64
541,16,48
541,9,48
541,2,48
542,16,32
542,9,32
542,2,32
543,16,16
543,14,22
543,9,16
543,7,22
543,2,16
543,0,22
544,16,0
544,9,0
544,2,0
545,17,8
545,16,240
545,10,8
545,9,240
545,3,8
545,2,240
546,16,224
546,9,224
546,2,224
547,16,208
547,9,208
547,2,208
548,16,192
548,9,192
548,2,192
549,16,176
549,9,176
549,2,176
550,16,160
550,14,75
550,9,160
550,7,75
550,2,160
550,0,75
551,16,144
551,9,144
551,2,144
552,16,128
552,9,128
552,2,128
553,16,112
553,9,112
553,2,112
554,16,96
554,9,96
554,2,96
555,16,80
555,9,80
555,2,80
556,16,64
556,9,64
556,2,64
557,16,48
557,14,161
557,9,48
557,7,161
557,2,48
557,0,161
558,16,32
558,9,32
558,2,32
559,16,16
559,9,16
559,2,16
560,16,0
560,9,0
560,2,0
561,17,7
561,16,240
561,10,7
561,9,240
561,3,7
561,2,240
562,16,224
562,9,224
562,2,224
563,16,208
563,9,208
563,2,208
564,16,192
564,14,22
564,9,192
564,7,22
564,2,192
564,0,22
565,16,176
565,9,176
565,2,176
566,16,160
566,9,160
566,2,160
567,16,144
567,9,144
567,2,144
568,16,128
568,9,128
568,2,128
569,16,112
569,9,112
569,2,112
570,16,96
570,9,96
570,2,96
571,16,80
571,14,75
571,9,80
571,7,75
571,2,80
571,0,75
572,16,64
572,9,64
572,2,64
573,16,48
573,9,48
573,2,48
574,16,32
574,9,32
574,2,32
576,16,48
576,9,48
576,2,48
577,16,64
577,9,64
577,2,64
578,16,80
578,14,161
578,9,80
578,7,161
578,2,80
578,0,161
579,16,96
579,9,96
579,2,96
580,16,112
580,9,112
580,2,112
581,16,128
581,9,128
581,2,128
582,16,144
582,9,144
582,2,144
583,16,160
583,9,160
583,2,160
584,16,176
584,9,176
584,2,176
585,16,192
585,14,22
585,9,192
585,7,22
585,2,192
585,0,22
586,16,208
586,9,208
586,2,208
587,16,224
587,9,224
587,2,224
588,16,240
588,9,240
588,2,240
589,17,8
589,16,0
589,10,8
